sector-code,sector,sector-percentage,sector-vocabulary,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
,,9,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
,,1,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
,,4,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
,,6,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
,,28,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
,,61,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
31150,Agricultural Inputs,5,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
31195,Livestock/Veterinary Services,6,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
31163,Livestock,7,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
31110,Agricultural Policy And Administrative Management,10,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
31194,Agricultural Co-Operatives,24,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
31120,Agricultural Development,48,OECD Development Assistance Committee,44000-P126576,1,12/02/14 12:00 AM,en,World Bank Group,44000,Multilateral,CD-Ag. Production Support Project,"The development objective of the Emergency Agriculture Production Support Project for Chad is to support communities and producer organizations in increasing (i) the production of selected crops and livestock species in selected areas of the recipient's territory; and (ii) the use of sustainable land and water management practices in climate vulnerable ecosystems. This emergency project paper seeks the approval of the Executive Directors to provide an International Development Association (IDA) credit in the amount of US$25.00 million, a Global Environmental Fund (GEF) grant in the amount of US$4,629,629 and a Least Developed Countries Fund (LDCF) grant in the amount of US$4,629,629 to the project. The credit and grants will help finance the costs associated with addressing food insecurity in the country, which has worsened appreciably in recent months following two years of below-normal agricultural production. The resources will allow the World Bank to respond quickly and directly to the emergency appeal issued in December 2011 by the Republic of Chad. In 2010, a prolonged drought led to widespread crop failures and the loss of large numbers of livestock. In 2011, the delayed onset of the rainy season and significantly below normal precipitation levels led to a steep reduction in planted area and caused production of cereals to fall by nearly 40 percent and production of other food crops to fall by approximately 28 percent. The impacts have been felt most acutely in Sahelian zones, where food production fell by an estimated 56 percent during the recently concluded cropping season, compared to the previous year. The Project will focus on high-potential zones in which significant productivity and production increases are deemed possible or in which food security and poverty challenges are high. In Guera and Salamat, there is considerable potential for increasing production of sorghum, maize, millet, and rain fed rice.",2,2012-05-18,2016-12-31,2012-05-17,2016-12-31,MINISTRY OF AGRICULTURE,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF AGRICULTURE,,,TD,Chad,100,,,,2,,,C01,5,,25000000,4221514,0,0,-11991,0,0
13020,Reproductive Health Care,,OECD Development Assistance Committee,XM-DAC-701-8-2012201683,,06/30/14 12:00 AM,en,Japan International Cooperation Agency (JICA),XM-DAC-701-8,Government,TC AGGREGATED ACTIVITIES,TC AGGREGATED ACTIVITIES,2,2009-01-06,2012-03-21,,,,,,Japan,XM-DAC-701,Government,,XM-DAC-701-8,Government,Recipient Government,,,TD,Chad,,,,,,,,,,JPY,1027610.938,1018000,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:206378,1,01/15/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Protracted crisis (46.H.7-8-122),Protracted crisis (46.H.7-8-122),,2013-01-08,,,,,,,Denmark,,,,,,CARITAS,,,TD,Chad,,,,,,,,,,,711617,0,0,0,0,0,0
72010,Material Relief Assistance And Services,,OECD Development Assistance Committee,41127-FTS:206378,1,01/15/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Protracted crisis (46.H.7-8-122),Protracted crisis (46.H.7-8-122),,2013-01-08,,,,,,,Denmark,,,,,,CARITAS,,,TD,Chad,,,,,,,,,,,711617,0,0,0,0,0,0
74010,Disaster Prevention And Preparedness,3,OECD Development Assistance Committee,41140-104780,,12/05/14 12:00 AM,en,World Food Programme,41140,Multilateral,Country Programme - Chad (2007-2011),"In line with the United Nations Development Assistance Framework (UNDAF) and the Government's Poverty Reduction Strategy,the Country Programme (CP) was implemented in western and central Chad. Through the budget revision approved in November 2010,food-for-assets (FFA) and mother and child health (MCHN) activities (component 2 and part of component 3) were suspended but continued under EMOP 200112.  WFP focused its support on basic education (component 1) and support to vulnerable children and ART clients and their households (part of component 3).

Through component 1,the programme aimed to promote primary education,reduce disparity between boys and girls through school meals and take-home rations for girls in grades 5 and 6,and increase access to literacy and numeracy training,especially for women and adolescent girls. Furthermore component 3 aimed to address the food insecurity in households with vulnerable children and ART clients. These two components are in line with Strategic Objective 4.

Crops losses and high livestock mortality due to lack of rains and grazing land in 2009 led to high increased acute malnutrition prevalence in the Sahelian belt which included the covered regions. In response to the request for support by the Government of Chad and in coordination with the UN country team,WFP decided to initiate  an Emergency Operation (EMOP) in March 2010 in order to reverse the increasing prevalence of malnutrition and transferred some of the CP caseload under this EMOP.",3,2007-01-01,2011-12-31,2007-01-01,2012-09-30,World Food Programme,41140,,World Food Programme,41140,,,,,World Food Programme,41140,,TD,Chad,,,,,4,110,10,B02,5,,10765634,0,10765634,10155488,0,0,0
52010,Food Aid/Food Security Programmes,16,OECD Development Assistance Committee,41140-104780,,12/05/14 12:00 AM,en,World Food Programme,41140,Multilateral,Country Programme - Chad (2007-2011),"In line with the United Nations Development Assistance Framework (UNDAF) and the Government's Poverty Reduction Strategy,the Country Programme (CP) was implemented in western and central Chad. Through the budget revision approved in November 2010,food-for-assets (FFA) and mother and child health (MCHN) activities (component 2 and part of component 3) were suspended but continued under EMOP 200112.  WFP focused its support on basic education (component 1) and support to vulnerable children and ART clients and their households (part of component 3).

Through component 1,the programme aimed to promote primary education,reduce disparity between boys and girls through school meals and take-home rations for girls in grades 5 and 6,and increase access to literacy and numeracy training,especially for women and adolescent girls. Furthermore component 3 aimed to address the food insecurity in households with vulnerable children and ART clients. These two components are in line with Strategic Objective 4.

Crops losses and high livestock mortality due to lack of rains and grazing land in 2009 led to high increased acute malnutrition prevalence in the Sahelian belt which included the covered regions. In response to the request for support by the Government of Chad and in coordination with the UN country team,WFP decided to initiate  an Emergency Operation (EMOP) in March 2010 in order to reverse the increasing prevalence of malnutrition and transferred some of the CP caseload under this EMOP.",3,2007-01-01,2011-12-31,2007-01-01,2012-09-30,World Food Programme,41140,,World Food Programme,41140,,,,,World Food Programme,41140,,TD,Chad,,,,,4,110,10,B02,5,,10765634,0,10765634,10155488,0,0,0
16064,Social Mitigation Of Hiv/Aids,9,OECD Development Assistance Committee,41140-104780,,12/05/14 12:00 AM,en,World Food Programme,41140,Multilateral,Country Programme - Chad (2007-2011),"In line with the United Nations Development Assistance Framework (UNDAF) and the Government's Poverty Reduction Strategy,the Country Programme (CP) was implemented in western and central Chad. Through the budget revision approved in November 2010,food-for-assets (FFA) and mother and child health (MCHN) activities (component 2 and part of component 3) were suspended but continued under EMOP 200112.  WFP focused its support on basic education (component 1) and support to vulnerable children and ART clients and their households (part of component 3).

Through component 1,the programme aimed to promote primary education,reduce disparity between boys and girls through school meals and take-home rations for girls in grades 5 and 6,and increase access to literacy and numeracy training,especially for women and adolescent girls. Furthermore component 3 aimed to address the food insecurity in households with vulnerable children and ART clients. These two components are in line with Strategic Objective 4.

Crops losses and high livestock mortality due to lack of rains and grazing land in 2009 led to high increased acute malnutrition prevalence in the Sahelian belt which included the covered regions. In response to the request for support by the Government of Chad and in coordination with the UN country team,WFP decided to initiate  an Emergency Operation (EMOP) in March 2010 in order to reverse the increasing prevalence of malnutrition and transferred some of the CP caseload under this EMOP.",3,2007-01-01,2011-12-31,2007-01-01,2012-09-30,World Food Programme,41140,,World Food Programme,41140,,,,,World Food Programme,41140,,TD,Chad,,,,,4,110,10,B02,5,,10765634,0,10765634,10155488,0,0,0
11230,Basic Life Skills For Youth And Adults,10,OECD Development Assistance Committee,41140-104780,,12/05/14 12:00 AM,en,World Food Programme,41140,Multilateral,Country Programme - Chad (2007-2011),"In line with the United Nations Development Assistance Framework (UNDAF) and the Government's Poverty Reduction Strategy,the Country Programme (CP) was implemented in western and central Chad. Through the budget revision approved in November 2010,food-for-assets (FFA) and mother and child health (MCHN) activities (component 2 and part of component 3) were suspended but continued under EMOP 200112.  WFP focused its support on basic education (component 1) and support to vulnerable children and ART clients and their households (part of component 3).

Through component 1,the programme aimed to promote primary education,reduce disparity between boys and girls through school meals and take-home rations for girls in grades 5 and 6,and increase access to literacy and numeracy training,especially for women and adolescent girls. Furthermore component 3 aimed to address the food insecurity in households with vulnerable children and ART clients. These two components are in line with Strategic Objective 4.

Crops losses and high livestock mortality due to lack of rains and grazing land in 2009 led to high increased acute malnutrition prevalence in the Sahelian belt which included the covered regions. In response to the request for support by the Government of Chad and in coordination with the UN country team,WFP decided to initiate  an Emergency Operation (EMOP) in March 2010 in order to reverse the increasing prevalence of malnutrition and transferred some of the CP caseload under this EMOP.",3,2007-01-01,2011-12-31,2007-01-01,2012-09-30,World Food Programme,41140,,World Food Programme,41140,,,,,World Food Programme,41140,,TD,Chad,,,,,4,110,10,B02,5,,10765634,0,10765634,10155488,0,0,0
11220,Primary Education,63,OECD Development Assistance Committee,41140-104780,,12/05/14 12:00 AM,en,World Food Programme,41140,Multilateral,Country Programme - Chad (2007-2011),"In line with the United Nations Development Assistance Framework (UNDAF) and the Government's Poverty Reduction Strategy,the Country Programme (CP) was implemented in western and central Chad. Through the budget revision approved in November 2010,food-for-assets (FFA) and mother and child health (MCHN) activities (component 2 and part of component 3) were suspended but continued under EMOP 200112.  WFP focused its support on basic education (component 1) and support to vulnerable children and ART clients and their households (part of component 3).

Through component 1,the programme aimed to promote primary education,reduce disparity between boys and girls through school meals and take-home rations for girls in grades 5 and 6,and increase access to literacy and numeracy training,especially for women and adolescent girls. Furthermore component 3 aimed to address the food insecurity in households with vulnerable children and ART clients. These two components are in line with Strategic Objective 4.

Crops losses and high livestock mortality due to lack of rains and grazing land in 2009 led to high increased acute malnutrition prevalence in the Sahelian belt which included the covered regions. In response to the request for support by the Government of Chad and in coordination with the UN country team,WFP decided to initiate  an Emergency Operation (EMOP) in March 2010 in order to reverse the increasing prevalence of malnutrition and transferred some of the CP caseload under this EMOP.",3,2007-01-01,2011-12-31,2007-01-01,2012-09-30,World Food Programme,41140,,World Food Programme,41140,,,,,World Food Programme,41140,,TD,Chad,,,,,4,110,10,B02,5,,10765634,0,10765634,10155488,0,0,0
